metric,premier_value,laliga_value,mann_whitney_u,p_value,cohens_d
Comment Length,36.20481836145311,38.13344425956739,550993149.5,3.144755460022719e-107,-0.04698684181749765
Emoji Rate,10.164158686730506,19.860232945091514,45030000.0,6.2599448783456415e-86,
