country,Dominican,France,Japan,Spain,UK,USA
Dominican,0.0,4.762494139690369,5.605722427332383,5.2432169788079515,4.3364565379131434,4.373304184493631
France,4.762494139690369,0.0,4.9978902939019685,1.3987269717145305,1.3562981767485565,4.826970660870029
Japan,5.605722427332383,4.9978902939019685,0.0,5.074040536074083,4.670451764236094,4.1448646786693795
Spain,5.2432169788079515,1.3987269717145305,5.074040536074083,0.0,1.5203916006117584,5.0053306857047115
UK,4.3364565379131434,1.3562981767485565,4.670451764236094,1.5203916006117584,0.0,4.92891320452874
USA,4.373304184493631,4.826970660870029,4.1448646786693795,5.0053306857047115,4.92891320452874,0.0
