messageId,timestamp,author,authorChannelId,isChatOwner,isChatSponsor,isVerified,message
LCC.EhwKGkNQalp6clNNMW84REZZTER3Z1FkeFFRVy1B,2025-09-14 00:53:47.000264+00:00,来世はひとなみ,UC1HjLO5RkOQ5zcPolFmuO5A,False,False,False,オヤルサバルがユース上がりじゃなかったら全然その世界線あったのかな
LCC.EhwKGkNJMnB5N1dNMW84REZRX0l3Z1FkZWpnWjNB,2025-09-14 00:53:49.039827+00:00,ああ,UCmldnXaJ971jQsk6niKkNow,False,False,False,久保めっちゃ上手いけど俺が久保の時だけ注目してるからそう思うだけでみんなこれくらいのことしてるのかなとふと思う
LCC.EhwKGkNMUDk4cmFNMW84REZWTVRyUVlkRkpRb2Rn,2025-09-14 00:53:51.787886+00:00,くろ,UCHYkCGGZLApVxbOP-1r0kMg,False,False,False,パーマーみたいな？
LCC.EhwKGkNNNkM3YmVNMW84REZjN0x3Z1FkaWdBZVZ3,2025-09-14 00:53:53.786703+00:00,ハルＲ２,UCv96SxW7MluhNM5S4phFeqQ,False,False,False,突破できちゃうのがわるいのかな…
LCC.EhwKGkNNV0x5N2lNMW84REZlX0R3Z1FkblpJc0Zn,2025-09-14 00:53:55.336633+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,もっと久保流動的に動かせる戦術したことないんか
LCC.EhwKGkNObmozcmlNMW84REZUYkR3Z1FkZzk0RkZR,2025-09-14 00:53:55.650153+00:00,セルジュニアさん,UCmFqYtdyOhSx8T2YHYuRu7A,False,False,False,王様にしてあげていいですよね
LCC.EhwKGkNOamlqYnFNMW84REZjRFN3Z1FkSEFVUUR3,2025-09-14 00:53:58.518170+00:00,武蔵,UC_2D4wYL4HexyWuzZk4Jdlg,False,False,False,グルダ〜
LCC.EhwKGkNPVDEzYnFNMW84REZWckJ3Z1FkaEw4alN3,2025-09-14 00:53:59.831409+00:00,グル,UCoUFHgRyEJCWZ988VHG23Xg,False,False,False,そんな中央に上手い選手いるのかなってくらい…
LCC.EhwKGkNMel9tcnlNMW84REZVY0lyUVlkSXBnRDdn,2025-09-14 00:54:02.928349+00:00,Vamo ,UCAw9A_-2KiLODVq3lt_0d4g,False,False,False,フリックならやってくれるかも
LCC.EhwKGkNJUzFoTDJNMW84REZZTER3Z1FkeFFRVy1B,2025-09-14 00:54:04.655849+00:00,せーゆ,UCNdiEd4wtd2vAtSDXLT0-CQ,False,False,False,何歳の久保ですか
LCC.EhwKGkNJWEY3TDZNMW84REZWUER3Z1FkV3VNazdn,2025-09-14 00:54:08.460216+00:00,Hayato,UCGjjx6rsUriOZmyI1MQq-ZA,False,False,False,カンセロはウイングで使われないし久保は0トップにされないし
LCC.EhwKGkNOMnZxTUtNMW84REZYVEN3Z1FkMm9BUkN3,2025-09-14 00:54:15.732058+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,マジで久保のそれやって欲しい
LCC.EhwKGkNQU3Bpc1NNMW84REZWUER3Z1FkV3VNazdn,2025-09-14 00:54:19.433027+00:00,まつん,UC9EHpjVnQ3CoDFZMua1Y7pg,False,False,False,鎌田みたいに自分で適切ポジちょっと勘違いしてるみたいな
LCC.EhwKGkNON01xc2FNMW84REZWckJ3Z1FkaEw4alN3,2025-09-14 00:54:24.156248+00:00,tarojirosaburo,UCYh8_xmTPggDigNo8Xk2T9Q,False,False,False,シュワーボ、ラリーガ参戦ですか？
LCC.EhwKGkNMdkgxc21NMW84REZVRER3Z1FkMFdjNHhn,2025-09-14 00:54:31.168468+00:00,L,UCqEr_dsNjj0OlwZBCDJJ73g,False,False,False,久保うまい
LCC.EhwKGkNOV1o3OG1NMW84REZUYkR3Z1FkZzk0RkZR,2025-09-14 00:54:31.570249+00:00,リーダス,UCuqg7euGhthYnoebDjcjx_g,False,False,False,"現代サッカーに""王様""は存在しない"
