country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
France,0.17833418497700562,0.0,0.04343382728666326,0.1880429228410833,0.19621870209504344,0.17705671946857435,0.2013285641287685,0.015585079202861523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.0450625269512721,0.00603708495040966,0.06953428201811125,0.0673781802501078,0.07675722294092281,0.08516601983613627,0.09616213885295385,0.03374299266925399,0.0,0.0,0.0,0.022746873652436394,0.048835705045278135,0.005713669685209142,0.10726606295817162,0.11804657179818888,0.05465717981888745,0.024902975420439843,0.061341095299698147,0.07664941785252263
Spain,0.1380635421670212,0.0028134220819323406,0.056748781994098677,0.15062101145954848,0.15261099293213476,0.14389624648322238,0.14142592465518425,0.09867563301996843,0.06553214849378988,0.04906333630686887,0.0005489604062307006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,0.08009770495140196,0.05434837921734263,0.03938730853391685,0.11230980611673706,0.1407561956134548,0.15144267467304462,0.1457432191745967,0.11149559818838736,0.10482927077502417,0.04157549234135667,0.018014350414737163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
