stream_id,match_folder,match_name,tier,tier_label,importance_score,league,match_type,detected_language,total_comments,emoji_rate,exclamation_rate,mean_comment_length,median_comment_length,max_cpm,mean_cpm,median_cpm,std_cpm,burst_frequency,topic_entropy,unique_words,total_words,lexical_diversity
Watch My Brother LIVE! - Brighton vs Man City Stream,ブライトンvsマンチェスターシティ,ブライトン vs マンチェスターシティ,3,Medium,3,Premier League,Top Club,English,7239,7.956900124326564,2.099737532808399,32.79251277800801,27.0,178,71.67326732673267,69.0,32.38367147526392,14,9.329560791541855,1920,44591,0.04305801619160817
【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）,ブライトンvsマンチェスターシティ,ブライトン vs マンチェスターシティ,3,Medium,3,Premier League,Top Club,Japanese,7824,1.3931492842535789,3.502044989775051,11.437244376278118,9.0,339,74.51428571428572,72.0,35.14040909904652,8,11.969939153863756,5546,8574,0.6468392815488687
【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】,ブライトンvsマンチェスターシティ,ブライトン vs マンチェスターシティ,3,Medium,3,Premier League,Top Club,Japanese,9645,1.9595645412130638,8.439606013478485,11.268636599274235,9.0,232,73.06818181818181,71.0,33.74787370894775,19,11.436140739715633,3362,9870,0.34062816616008107
三笘スタメン🇯🇵ブライトン×ボーンマス＆久保建英所属🇯🇵ソシエダ×レアルマドリー【２試合同時リアルタイム分析】※雑談もします_LACSXJ1WkOU,ブライトンvsマンチェスターシティ,ブライトン vs マンチェスターシティ,3,Medium,3,Premier League,Top Club,Japanese,298,0.0,3.691275167785235,16.003355704697988,14.5,23,10.275862068965518,10.0,4.90551112615872,4,8.19548535716255,296,300,0.9866666666666667
⚽JORNADA 4 LaLiga - Real Sociedad 🆚 Real Madrid 🔥_eB2XtdJ52ao,レアルソシエダvsレアルマドリード,レアルソシエダ vs レアルマドリード,3,Medium,3,La Liga,Top Club,Spanish,381,4.724409448818897,1.3123359580052494,31.498687664041995,21.0,26,10.583333333333334,9.0,6.526320337131571,6,8.850455097620586,959,2157,0.44459898006490495
✅ Real Sociedad vs Real Madrid [En Vivo] 🏆 La Liga de España - Jornada 4_0fOOZ2_53_0,レアルソシエダvsレアルマドリード,レアルソシエダ vs レアルマドリード,3,Medium,3,La Liga,Top Club,Spanish,452,14.380530973451327,3.5398230088495577,26.63053097345133,18.0,51,22.6,21.5,10.752723033333416,2,8.196388276339187,686,1748,0.39244851258581237
🔴 REAL SOCIEDAD - REAL MADRID LIVE _ 🔥MBAPPE EN GRANDE FORME ! L'AVANT LDC CONTRE L'OM 👀😂 _ LIGA_w3ZOQ3PcF6M,レアルソシエダvsレアルマドリード,レアルソシエダ vs レアルマドリード,3,Medium,3,La Liga,Top Club,Spanish,2212,14.059674502712477,1.5822784810126582,32.723654454997735,17.0,179,81.92592592592592,71.0,40.49019437414249,3,9.81587692652991,2514,8699,0.2889987354868376
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS,リーズユナイテッドvsスパーズ,リーズユナイテッド vs スパーズ,4,Low,2,Premier League,Regular,English,5927,18.52539227265058,2.2270963387885945,30.30167032225409,24.0,129,64.42391304347827,64.5,26.350650552117838,16,10.455703424383975,4136,33475,0.12355489171023151
LEEDS VS TOTTENHAM _ THE CLUB LIVE,リーズユナイテッドvsスパーズ,リーズユナイテッド vs スパーズ,4,Low,2,Premier League,Regular,English,6340,4.542586750788644,2.082018927444795,40.94179810725552,30.0,270,69.67032967032966,57.0,52.280877095646645,13,9.919185987964388,2539,47613,0.053325772373091385
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26,リーズユナイテッドvsスパーズ,リーズユナイテッド vs スパーズ,4,Low,2,Premier League,Regular,English,6140,9.332247557003258,4.039087947882736,35.40456026058632,27.0,118,65.31914893617021,68.0,25.19652338450191,14,10.136417598737145,3593,40011,0.08980030491614806
高井幸大所属🇯🇵スパーズ×田中碧所属🇯🇵リーズ【リアルタイム分析】※雑談もします,リーズユナイテッドvsスパーズ,リーズユナイテッド vs スパーズ,4,Low,2,Premier League,Regular,Japanese,6126,3.9993470453803464,2.2200457068233757,22.855370551746653,17.0,193,58.90384615384615,49.0,41.88252624282537,18,9.338619863921988,711,6430,0.11057542768273718
PSG_IntelMiami_France,パリサンジェルマンvsインテルマイアミ,パリサンジェルマン vs インテルマイアミ,4,Low,1,Friendly,Preseason,English,7850,11.821656050955413,3.3503184713375793,37.50165605095541,29.0,213,65.41666666666667,56.0,44.499378398705176,23,8.77362125710785,966,54672,0.01766900790166813
PSG_IntelMiami_India,パリサンジェルマンvsインテルマイアミ,パリサンジェルマン vs インテルマイアミ,4,Low,1,Friendly,Preseason,English,8603,23.166337324189236,0.3952109729164245,44.22852493316285,37.0,290,65.17424242424242,62.0,33.15899615698966,13,9.901872870490797,3210,72424,0.0443223240914614
