group,n,mean,ci_low,ci_high,ci_width,stderr
Spain,2,0.021626036916685548,0.0026455026455026,0.0406065711878685,0.0379610685423659,0.013421264493697125
Japan,3,0.03670694534348964,0.0184537842451833,0.0478153338829348,0.0293615496377515,0.007510155797628346
UK,4,0.012199151444013375,0.00814987029691315,0.018377399854711426,0.010227529557798275,0.0026497279144601137
France,1,0.0102197240674501,0.0102197240674501,0.0102197240674501,0.0,
USA,1,0.0293186137001176,0.0293186137001176,0.0293186137001176,0.0,
Dominican,1,0.0007789264976632,0.0007789264976632,0.0007789264976632,0.0,
