group,n,mean,ci_low,ci_high,ci_width,stderr
Spain,2,3.0,3.0,3.0,0.0,0.0
Japan,3,5.111111111111111,2.0,7.333333333333333,5.333333333333333,1.308409017233755
UK,4,3.5416666666666665,2.0,6.125,4.125,1.150747039970123
France,1,4.0,4.0,4.0,0.0,
USA,1,7.2,7.2,7.2,0.0,
Dominican,1,8.666666666666666,8.666666666666666,8.666666666666666,0.0,
