time_bin,0
0,831
1,843
2,857
3,838
4,698
5,330
6,135
7,307
8,159
9,193
10,208
11,357
12,421
13,467
14,759
15,878
16,955
17,974
18,1041
19,1158
20,1016
21,1115
22,1156
23,1198
24,1282
25,1267
26,1196
27,1070
28,1257
29,1056
30,1345
31,1363
32,1123
33,1128
34,918
35,763
36,622
37,625
38,676
39,595
40,579
41,564
42,537
43,699
44,278
45,357
46,340
47,310
48,286
49,239
50,152
51,206
52,4
55,7
58,49
59,155
60,220
61,107
62,61
63,43
64,22
65,31
67,8
68,4
69,10
70,16
71,177
72,236
73,215
74,351
75,358
76,161
77,96
78,119
79,361
80,162
81,24
82,139
83,85
84,97
85,53
86,30
87,57
88,48
89,43
90,25
91,81
92,126
93,172
94,165
95,146
96,299
97,186
98,51
99,29
