language,comment_count,avg_length,emoji_rate,cpm,entropy,percentage,match,stream
other,1347,16.946547884187083,12.323682256867112,9.349836386256344,7.026284171271022,17.15923566878981,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
fr,5278,46.17544524441076,9.586964759378553,36.63581027962953,8.570641655479697,67.23566878980893,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
it,265,15.184905660377359,0.0,1.839425866635435,4.835531701288624,3.375796178343949,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
es,142,20.070422535211268,0.0,0.9856546153291765,4.18077497244814,1.8089171974522293,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
en,239,56.79497907949791,0.0,1.6589538948145999,4.254260522037602,3.0445859872611463,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
pt,170,11.729411764705882,0.0,1.1800090465208453,4.356862975546775,2.1656050955414012,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
nl,20,203.0,0.0,0.13882459370833472,-1.4426951601859516e-10,0.25477707006369427,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
de,19,23.0,0.0,0.13188336402291798,2.3219280941660148,0.24203821656050956,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_France
en,3150,56.91904761904762,18.6031746031746,24.077784409221426,9.109413231128965,36.61513425549227,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
other,4213,37.86517920721576,12.010443864229766,32.20308117969837,9.12564816642148,48.971289085202834,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
it,287,26.770034843205575,57.8397212543554,2.1937536906179522,4.778614754944398,3.336045565500407,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
nl,84,28.535714285714285,11.904761904761903,0.6420742509125714,5.565635935796135,0.9764035801464606,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
fr,102,22.38235294117647,10.784313725490197,0.7796615903938366,4.855957241803656,1.1856329187492736,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
es,28,22.464285714285715,0.0,0.21402475030419046,4.472711313033804,0.32546786004882017,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
de,232,57.793103448275865,10.344827586206897,1.7733479310918638,6.628554905622347,2.696733697547367,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
pt,88,23.15909090909091,1.1363636363636365,0.6726492152417415,5.020581261800546,1.0228989887248634,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
hi,91,72.42857142857143,56.043956043956044,0.695580438488619,5.429675533932323,1.0577705451586654,パリサンジェルマンvsインテルマイアミ,PSG_IntelMiami_India
other,2023,18.97676717745922,7.26643598615917,12.740086063821947,10.039044451746014,17.055897479133293,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
en,7916,42.74178878221324,6.455280444669024,49.851963065355676,10.224201700272769,66.73973526684091,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
ja,743,34.04845222072678,13.593539703903096,4.6791319552247685,9.651574863409097,6.264227299553157,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
es,61,16.868852459016395,4.918032786885246,0.3841548442378343,6.863069848133367,0.5142905319956158,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
it,116,20.24137931034483,6.0344827586206895,0.7305239660916193,7.5408793849613485,0.9779951100244498,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
nl,251,25.808764940239044,3.9840637450199203,1.580702719732728,8.325333935254658,2.1161790742770425,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
de,321,21.1588785046729,5.607476635514018,2.021536147546636,8.917964154804164,2.7063485372228313,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
fr,165,16.921212121212122,5.454545454545454,1.039107365561355,7.1787353776737355,1.3911137340865019,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
pt,134,17.17910447761194,5.223880597014925,0.8438811332437671,6.084963091018254,1.1297529719247956,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!_chat_log
en,6452,45.43149411035338,4.696218226906386,50.15644073332182,9.958863220028276,69.44354751910451,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
other,1478,20.711772665764546,5.615696887686062,11.489649628618979,9.592269701363339,15.907867829081907,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
nl,146,28.184931506849313,0.684931506849315,1.134972155465745,7.808560268309817,1.5714131955656012,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
de,258,22.670542635658915,3.10077519379845,2.0056357267819327,8.215089711697008,2.776880852437843,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
ja,587,36.22316865417376,8.347529812606473,4.5632099675232345,9.48076147812139,6.3179420945000535,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
it,72,24.72222222222222,1.3888888888888888,0.5597122958461208,7.248644099791708,0.7749434937035841,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
pt,67,16.567164179104477,4.477611940298507,0.5208433864123624,6.4543425264286025,0.7211279733075019,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
es,58,20.46551724137931,6.896551724137931,0.4508793494315973,6.385393758565527,0.6242600365945539,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
fr,87,18.17241379310345,1.1494252873563218,0.676319024147396,6.580229513013605,0.9363900548918308,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log
en,6804,48.71516754850088,12.3015873015873,52.106892835067626,10.340070465794495,70.5443234836703,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
other,1431,23.665269042627532,13.487071977638015,10.958989366105493,10.020080385411983,14.836702954898911,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
fr,69,25.217391304347824,14.492753623188406,0.5284208709023612,7.198652803275833,0.7153965785381027,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
pt,39,25.17948717948718,2.564102564102564,0.2986726661622042,6.595274868853762,0.4043545878693624,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
ja,628,37.796178343949045,16.878980891719745,4.809395752560621,9.735330193585067,6.511145671332297,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
de,223,28.228699551569505,15.246636771300448,1.7077949885685009,8.578451168960026,2.3120787973043027,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
es,76,24.473684210526315,2.631578947368421,0.5820287853417313,6.7285358850364965,0.7879730430274753,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
it,102,29.352941176470587,16.666666666666664,0.781143896116534,7.2262908306385185,1.0575427682737168,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
