group,n,mean,ci_low,ci_high,ci_width,stderr
France,1,3.805825242718447,3.805825242718447,3.805825242718447,0.0,
Japan,2,6.163643741735479,4.16500904159132,8.162278441879637,3.9972694002883173,1.9986347001441587
Spain,2,3.258252541866695,2.722325189553496,3.794179894179894,1.0718547046263978,0.5359273523131989
UK,4,4.819820615837518,4.178007082632847,5.4616341490421885,1.2836270664093412,0.401714360881687
