comparison,soccer_value,baseball_value,test,p_value,cohens_d
Burst Frequency,0.19085714285714286,0.10309278350515463,Descriptive,,
Comment Length,31.117725353405543,23.447586517329945,Mann-Whitney U,0.0,0.2483824636291501
