,☺,✌,❤,💕,😁,😂,😅,😘,😭
20:13,0,0,0,0,0,0,0,0,0
20:48,0,0,0,0,0,0,0,0,0
21:23,0,0,0,0,0,0,0,0,0
21:58,0,0,0,0,0,0,0,0,0
22:34,0,0,0,0,0,0,0,0,0
23:09,0,0,0,0,0,0,0,0,0
23:44,0,0,0,0,0,0,0,0,0
00:19,10,0,0,0,0,0,10,0,0
00:55,0,0,0,0,0,0,0,0,0
01:30,0,0,34,0,0,0,0,0,50
02:05,0,0,0,0,0,0,0,0,0
02:40,0,7,0,10,8,21,0,10,0
