country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262
France,24.49866310160428,11.06283422459893,10.995989304812834,3.5427807486631018,0.2339572192513369,2.4398395721925135,3.5427807486631018,0.9692513368983958,2.840909090909091,0.267379679144385,1.4037433155080214,0.53475935828877,1.303475935828877,0.03342245989304812,0.1002673796791444,0.8021390374331552,0.7018716577540107,1.7045454545454544,0.06684491978609625,0.267379679144385,0.30080213903743314,1.6377005347593583,0.2005347593582888,0.267379679144385,0.0,0.0,0.4010695187165776,0.1002673796791444,0.6016042780748663,0.53475935828877,0.2339572192513369,0.1336898395721925,0.1336898395721925,0.2339572192513369,0.0,0.03342245989304812,0.3676470588235294,0.1336898395721925,0.06684491978609625,0.53475935828877,0.0,0.53475935828877,2.1724598930481283,0.03342245989304812,0.4679144385026738,0.2005347593582888,0.6350267379679144,0.6016042780748663,0.53475935828877,0.03342245989304812,0.0,1.036096256684492,0.3676470588235294,0.03342245989304812,0.1002673796791444,0.16711229946524064,0.4679144385026738,0.0,0.03342245989304812,0.03342245989304812,0.16711229946524064,0.0,1.236631016042781,0.267379679144385,0.4010695187165776,0.1336898395721925,0.0,0.03342245989304812,1.06951871657754,0.4344919786096257,0.03342245989304812,0.4344919786096257,0.06684491978609625,0.0,0.1002673796791444,0.0,0.1336898395721925,0.0,0.0,0.1336898395721925,0.0,0.0,0.0,0.768716577540107,0.0,0.0,0.03342245989304812,0.0,0.03342245989304812,0.267379679144385,0.03342245989304812,0.06684491978609625,0.1336898395721925,0.03342245989304812,0.06684491978609625,0.06684491978609625,0.06684491978609625,0.0,0.06684491978609625,0.1002673796791444,0.267379679144385,0.06684491978609625,0.267379679144385,0.06684491978609625,0.6684491978609626,0.03342245989304812,0.0,0.1002673796791444,0.0,0.16711229946524064,0.0,0.0,0.0,0.2339572192513369,0.03342245989304812,0.4679144385026738,0.0,0.16711229946524064,0.06684491978609625,0.0,0.0,0.03342245989304812,0.06684491978609625,0.0,0.03342245989304812,0.16711229946524064,0.0,0.2005347593582888,0.06684491978609625,0.03342245989304812,0.03342245989304812,0.06684491978609625,0.03342245989304812,0.0,0.0,0.03342245989304812,0.0,0.03342245989304812,0.0,0.6684491978609626,0.06684491978609625,0.03342245989304812,0.0,0.4010695187165776,0.06684491978609625,0.06684491978609625,0.03342245989304812,0.03342245989304812,0.0,0.0,0.03342245989304812,0.1002673796791444,0.0,0.0,0.06684491978609625,0.0,0.0,0.1002673796791444,0.0,0.0,0.0,0.7018716577540107,0.03342245989304812,0.0,0.0,0.03342245989304812,0.0,0.1336898395721925,0.9358288770053476,0.0,0.0,0.03342245989304812,0.0,0.0,0.0,0.0,0.0,0.30080213903743314,0.0,0.06684491978609625,0.0,0.0,0.03342245989304812,0.06684491978609625,0.03342245989304812,0.0,0.0,0.0,0.0,0.03342245989304812,0.0,0.0,0.30080213903743314,0.0,0.0,0.0,0.0,0.03342245989304812,0.06684491978609625,0.0,0.03342245989304812,0.0,0.0,0.03342245989304812,0.0,1.06951871657754,0.03342245989304812,0.0,0.4344919786096257,0.0,0.03342245989304812,0.0,0.2339572192513369,0.06684491978609625,0.0,0.03342245989304812,0.0,0.0,0.0,0.0,0.0,0.4010695187165776,0.0,0.0,0.0,0.0,0.0,0.03342245989304812,0.06684491978609625,0.0,0.0,0.0,0.0,0.03342245989304812,0.0,0.30080213903743314,0.0,0.0,0.0,0.03342245989304812,1.036096256684492,0.0,0.0,0.0,0.1336898395721925,0.0,0.0,0.06684491978609625,0.0,0.0,0.0,0.03342245989304812,0.4010695187165776,0.0,0.0,0.0,0.0,0.0,0.03342245989304812,0.0,0.0,0.03342245989304812,0.4679144385026738
Japan,32.948752347732764,1.140327341024953,0.4024684733029246,0.21464985242822646,0.0,0.26831231553528306,0.2012342366514623,0.0,1.0866648779178965,0.0,0.6573651730614435,0.8451837939361417,0.0,0.0,0.16098738932116982,0.3756372417493963,0.8317681781593774,0.0,0.0,1.676951972095519,0.10732492621411323,0.0,0.0,0.0,0.0,0.33539039441910384,0.21464985242822646,0.0,0.14757177354440568,0.013415615776764154,0.22806546820499063,1.140327341024953,0.0,0.08049369466058491,0.24148108398175475,1.395224040783472,0.0,0.12074054199087737,0.09390931043734907,0.10732492621411323,0.0,0.0,0.29514354708881135,0.29514354708881135,0.5634558626240944,0.7110276361685001,0.6573651730614435,0.0,0.0,0.5097933995170378,1.1671585725784814,0.0,0.0,0.791521330829085,0.18781862087469814,0.0,0.0,0.18781862087469814,0.0,0.8049369466058492,0.7512744834987926,1.1134961094714246,0.10732492621411323,0.0,0.0,0.10732492621411323,1.0195867990340757,0.7378588677220285,0.14757177354440568,0.32197477864233964,0.0,0.0,0.21464985242822646,0.174403005097934,0.0,0.0,0.0,0.0,0.0,0.0,0.9525087201502549,0.9525087201502549,0.0,0.0,0.26831231553528306,0.0,0.0,0.14757177354440568,0.0,0.174403005097934,0.2012342366514623,0.0,0.5768714784008586,0.791521330829085,0.0,0.0,0.09390931043734907,0.4024684733029246,0.7378588677220285,0.0,0.0,0.2012342366514623,0.14757177354440568,0.0,0.0,0.0,0.0,0.0,0.4024684733029246,0.5634558626240944,0.6573651730614435,0.0,0.6439495572846793,0.06707807888382077,0.45613093640998126,0.0,0.7244432519452643,0.3890528575261605,0.5768714784008586,0.7110276361685001,0.0,0.0,0.0,0.697612020391736,0.6707807888382077,0.0,0.6841964046149719,0.0,0.0,0.2817279313120472,0.30855916286557555,0.6037027099543869,0.33539039441910384,0.3756372417493963,0.6439495572846793,0.0,0.6439495572846793,0.2817279313120472,0.6573651730614435,0.0,0.5500402468473303,0.10732492621411323,0.0,0.0,0.0,0.0,0.0,0.5768714784008586,0.5634558626240944,0.44271532063321706,0.5768714784008586,0.36222162597263213,0.0,0.0,0.0,0.08049369466058491,0.5634558626240944,0.0,0.5500402468473303,0.0,0.0,0.0,0.13415615776764153,0.10732492621411323,0.5366246310705661,0.523209015293802,0.36222162597263213,0.013415615776764154,0.0,0.0,0.0,0.44271532063321706,0.49637778374027364,0.44271532063321706,0.0,0.0,0.44271532063321706,0.0,0.0,0.4695465521867454,0.523209015293802,0.523209015293802,0.4292997048564529,0.2012342366514623,0.3756372417493963,0.36222162597263213,0.4695465521867454,0.4292997048564529,0.49637778374027364,0.0,0.0,0.0,0.36222162597263213,0.0,0.0,0.49637778374027364,0.4695465521867454,0.0,0.0,0.0,0.4829621679635095,0.0,0.0,0.14757177354440568,0.30855916286557555,0.0,0.24148108398175475,0.0,0.0,0.0,0.348806010195868,0.4829621679635095,0.12074054199087737,0.0,0.45613093640998126,0.0,0.0,0.45613093640998126,0.45613093640998126,0.0,0.3890528575261605,0.0,0.0,0.4158840890796887,0.0,0.0,0.44271532063321706,0.3756372417493963,0.348806010195868,0.44271532063321706,0.2817279313120472,0.4158840890796887,0.44271532063321706,0.0,0.4292997048564529,0.0,0.0,0.0,0.0,0.3890528575261605,0.0,0.4024684733029246,0.4158840890796887,0.4292997048564529,0.2817279313120472,0.0,0.3890528575261605,0.36222162597263213,0.0,0.0,0.4158840890796887,0.4024684733029246,0.13415615776764153,0.4024684733029246,0.4024684733029246,0.0,0.3890528575261605,0.4024684733029246,0.36222162597263213,0.0,0.4024684733029246,0.0,0.12074054199087737
Spain,30.277274627281592,18.280618642887,5.94956109795179,0.5712693325902187,0.5712693325902187,5.754493520969764,1.0868050717570017,1.1982722586038734,1.2679392503831683,0.0,0.6966699177929497,0.13933398355858995,0.8778040964191167,0.027866796711717986,0.2229343736937439,0.7245367145046677,0.34833495889647487,0.4458687473874878,0.0,0.2368677720496029,0.9056708931308346,0.6130695276577957,0.3204681621847569,0.34833495889647487,1.8810087780409643,1.5187404207886304,0.06966699177929497,0.33440156054061587,0.2368677720496029,0.05573359342343597,0.09753378849101296,0.18113417862616693,0.12540058520273095,0.05573359342343597,1.2540058520273094,0.0,0.36226835725233386,0.041800195067576984,0.12540058520273095,0.4876689424550648,0.0,0.7106033161488087,0.013933398355858993,0.40406855231991085,0.20900097533788492,0.1532673819144489,0.027866796711717986,0.16720078027030794,0.2508011704054619,0.2926013654730389,0.013933398355858993,0.7384701128605267,0.5991361293019367,0.12540058520273095,0.2229343736937439,0.027866796711717986,0.013933398355858993,0.0,0.0,0.041800195067576984,0.1532673819144489,0.013933398355858993,0.12540058520273095,0.013933398355858993,0.5712693325902187,0.05573359342343597,0.027866796711717986,0.05573359342343597,0.06966699177929497,0.09753378849101296,0.027866796711717986,0.20900097533788492,0.3762017556081928,0.013933398355858993,0.0,0.11146718684687194,0.11146718684687194,0.05573359342343597,0.013933398355858993,0.5991361293019367,0.0,0.0,0.8917374947749755,0.09753378849101296,0.013933398355858993,0.0,0.013933398355858993,0.013933398355858993,0.05573359342343597,0.36226835725233386,0.4458687473874878,0.41800195067576984,0.09753378849101296,0.0,0.0,0.6827365194370907,0.08360039013515397,0.041800195067576984,0.0,0.041800195067576984,0.09753378849101296,0.41800195067576984,0.12540058520273095,0.12540058520273095,0.041800195067576984,0.09753378849101296,0.013933398355858993,0.2786679671171799,0.013933398355858993,0.013933398355858993,0.0,0.0,0.013933398355858993,0.09753378849101296,0.12540058520273095,0.08360039013515397,0.0,0.16720078027030794,0.05573359342343597,0.0,0.0,0.12540058520273095,0.027866796711717986,0.0,0.0,0.39013515396405185,0.0,0.19506757698202593,0.2368677720496029,0.08360039013515397,0.33440156054061587,0.041800195067576984,0.027866796711717986,0.0,0.0,0.027866796711717986,0.0,0.2229343736937439,0.0,0.39013515396405185,0.05573359342343597,0.19506757698202593,0.0,0.41800195067576984,0.08360039013515397,0.041800195067576984,0.13933398355858995,0.0,0.027866796711717986,0.08360039013515397,0.0,0.027866796711717986,0.0,0.5294691375226418,0.0,0.027866796711717986,0.0,0.41800195067576984,0.0,0.013933398355858993,0.5712693325902187,0.20900097533788492,0.16720078027030794,0.12540058520273095,0.0,0.013933398355858993,0.08360039013515397,0.09753378849101296,0.027866796711717986,0.0,0.0,0.027866796711717986,0.05573359342343597,0.0,0.013933398355858993,0.5294691375226418,0.0,0.33440156054061587,0.027866796711717986,0.0,0.0,0.0,0.0,0.0,0.09753378849101296,0.05573359342343597,0.041800195067576984,0.0,0.013933398355858993,0.1532673819144489,0.013933398355858993,0.34833495889647487,0.0,0.027866796711717986,0.4458687473874878,0.0,0.013933398355858993,0.2368677720496029,0.20900097533788492,0.0,0.0,0.013933398355858993,0.0,0.11146718684687194,0.027866796711717986,0.013933398355858993,0.013933398355858993,0.0,0.06966699177929497,0.0,0.09753378849101296,0.0,0.05573359342343597,0.45980214574334677,0.0,0.013933398355858993,0.027866796711717986,0.0,0.0,0.0,0.0,0.19506757698202593,0.013933398355858993,0.027866796711717986,0.06966699177929497,0.013933398355858993,0.0,0.0,0.05573359342343597,0.0,0.12540058520273095,0.013933398355858993,0.0,0.0,0.0,0.16720078027030794,0.0,0.0,0.0,0.027866796711717986,0.0,0.013933398355858993,0.0,0.0,0.08360039013515397,0.36226835725233386,0.013933398355858993,0.013933398355858993,0.0,0.013933398355858993,0.0,0.0,0.09753378849101296,0.0,0.0,0.08360039013515397,0.0,0.0,0.0,0.0,0.0,0.13933398355858995,0.013933398355858993
UK,24.84406755904408,7.001191393930899,2.4879108557011707,3.6863129861938466,3.7283621837549936,0.10512299390286635,1.3525825215502136,1.752049898381106,0.7358609573200644,2.4528698577335484,1.4787301142336533,1.0372135398416147,0.6657789613848202,1.3175415235825918,1.0862709369962857,0.546639568294905,0.5115985703272828,0.644754362604247,1.1843857313056276,0.04204919756114654,0.5045903707337586,0.3784427780503189,0.8199593524423575,0.7358609573200644,0.0,0.0,0.6377461630107225,0.6797953605718691,0.546639568294905,0.7218445581330156,0.5746723666690028,0.05606559674819539,0.6727871609783447,0.6377461630107225,0.0,0.0,0.45553297357908756,0.6027051650431005,0.5816805662625272,0.2943443829280258,0.7008199593524423,0.23127058658630595,0.07709019552876865,0.3223771813021235,0.1752049898381106,0.16819679024458617,0.1541803910575373,0.4345083747985143,0.4064755764244166,0.21725418739925714,0.02102459878057327,0.04905739715467096,0.2452869857733548,0.13315579227696406,0.3784427780503189,0.5606559674819539,0.49758217114023406,0.5045903707337586,0.5886887658560516,0.1471721914640129,0.09110659471581752,0.0,0.2032377882122083,0.5115985703272828,0.19622958861868384,0.4485247739855631,0.007008199593524424,0.12614759268343964,0.2032377882122083,0.23127058658630595,0.5115985703272828,0.33639358048917234,0.21725418739925714,0.42750017520498984,0.5045903707337586,0.4695493727661364,0.4345083747985143,0.4835657719531853,0.5045903707337586,0.1752049898381106,0.0,0.0,0.04204919756114654,0.28032798374097695,0.33639358048917234,0.4835657719531853,0.4695493727661364,0.3994673768308922,0.4415165743920387,0.13315579227696406,0.12614759268343964,0.23127058658630595,0.07709019552876865,0.02102459878057327,0.42750017520498984,0.07709019552876865,0.32938538089564795,0.2032377882122083,0.028032798374097695,0.3854509776438433,0.3223771813021235,0.09811479430934192,0.22426238699278156,0.34340178008269673,0.25930338496040367,0.36442637886327006,0.4064755764244166,0.2452869857733548,0.18922138902515945,0.06307379634171982,0.05606559674819539,0.3994673768308922,0.04204919756114654,0.2522951853668793,0.07709019552876865,0.2452869857733548,0.0,0.05606559674819539,0.03504099796762212,0.0,0.37143457845679445,0.3013525825215502,0.33639358048917234,0.0,0.0,0.12614759268343964,0.0,0.21725418739925714,0.22426238699278156,0.16118859065106175,0.014016399187048847,0.0,0.1541803910575373,0.1541803910575373,0.007008199593524424,0.3223771813021235,0.007008199593524424,0.07709019552876865,0.0,0.0,0.007008199593524424,0.1752049898381106,0.33639358048917234,0.04204919756114654,0.28032798374097695,0.2943443829280258,0.2522951853668793,0.014016399187048847,0.014016399187048847,0.04905739715467096,0.007008199593524424,0.09110659471581752,0.31536898170859906,0.04204919756114654,0.2943443829280258,0.2522951853668793,0.014016399187048847,0.07709019552876865,0.014016399187048847,0.2943443829280258,0.007008199593524424,0.04204919756114654,0.13315579227696406,0.1752049898381106,0.014016399187048847,0.0,0.05606559674819539,0.2032377882122083,0.07709019552876865,0.2873361833345014,0.2873361833345014,0.03504099796762212,0.0,0.04905739715467096,0.2733197841474525,0.014016399187048847,0.04905739715467096,0.04905739715467096,0.25930338496040367,0.014016399187048847,0.0,0.0,0.04204919756114654,0.1541803910575373,0.014016399187048847,0.04905739715467096,0.0,0.04204919756114654,0.0,0.18221318943163503,0.25930338496040367,0.09110659471581752,0.007008199593524424,0.2452869857733548,0.03504099796762212,0.0,0.007008199593524424,0.13315579227696406,0.14016399187048847,0.25930338496040367,0.0,0.2452869857733548,0.2522951853668793,0.11213119349639078,0.07709019552876865,0.02102459878057327,0.11213119349639078,0.2522951853668793,0.12614759268343964,0.2522951853668793,0.014016399187048847,0.0,0.10512299390286635,0.0,0.007008199593524424,0.23127058658630595,0.23127058658630595,0.0,0.0,0.23827878617983042,0.03504099796762212,0.05606559674819539,0.22426238699278156,0.0,0.19622958861868384,0.22426238699278156,0.0,0.028032798374097695,0.007008199593524424,0.0,0.02102459878057327,0.007008199593524424,0.0,0.22426238699278156,0.007008199593524424,0.07709019552876865,0.22426238699278156,0.22426238699278156,0.22426238699278156,0.0,0.007008199593524424,0.007008199593524424,0.007008199593524424,0.0,0.0,0.03504099796762212,0.007008199593524424,0.007008199593524424,0.21725418739925714,0.2102459878057327,0.0,0.0,0.014016399187048847,0.0,0.0,0.16819679024458617,0.007008199593524424,0.0,0.014016399187048847,0.2102459878057327,0.0,0.13315579227696406,0.04204919756114654
